Day,Date,UT Start,UT End,Site,Tel,Local Start,Local End
Friday,1-Dec,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Friday,1-Dec,10:00:00,10:30:00,COJ,0m4a,10:00:00,10:30:00
Friday,1-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,1-Dec,15:15:00,15:45:00,OGG,0m4b,15:15:00,15:45:00
Tuesday,5-Dec,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Tuesday,5-Dec,10:00:00,10:30:00,COJ,0m4a,10:00:00,10:30:00
Tuesday,5-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,5-Dec,15:15:00,15:45:00,OGG,0m4b,15:15:00,15:45:00
Wednesday,6-Dec,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Wednesday,6-Dec,10:00:00,10:30:00,COJ,0m4a,10:00:00,10:30:00
Wednesday,6-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,6-Dec,15:15:00,15:45:00,OGG,0m4b,15:15:00,15:45:00
Thursday,7-Dec,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Thursday,7-Dec,10:00:00,10:30:00,COJ,0m4a,10:00:00,10:30:00
Thursday,7-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Thursday,7-Dec,15:15:00,15:45:00,OGG,0m4b,15:15:00,15:45:00
Friday,8-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,8-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Friday,8-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,8-Dec,15:15:00,15:45:00,OGG,0m4b,15:15:00,15:45:00
Tuesday,12-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,12-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Tuesday,12-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,12-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Wednesday,13-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,13-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Wednesday,13-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,13-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,14-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,14-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Thursday,14-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Thursday,14-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Friday,15-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,15-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Friday,15-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,15-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Tuesday,19-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,19-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Tuesday,19-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,19-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Wednesday,20-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,20-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Wednesday,20-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,20-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,21-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,21-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Thursday,21-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Thursday,21-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Friday,22-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,22-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Friday,22-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,22-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Tuesday,2-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,2-Jan,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Tuesday,2-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,2-Jan,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Wednesday,3-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,3-Jan,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Wednesday,3-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,3-Jan,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,4-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,4-Jan,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
