Day,Date,UT Start,UT End,Site,Tel,Local Start,Local End
Tuesday,4-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,4-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,5-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,5-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Thursday,6-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Thursday,6-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,7-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,7-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,11-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,11-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,12-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,12-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Thursday,13-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Thursday,13-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,14-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,14-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,18-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,18-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,19-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,19-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Thursday,20-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Thursday,20-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,21-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,21-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,25-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,25-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,26-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,26-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Thursday,27-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Thursday,27-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,28-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,28-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,2-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,2-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,3-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,3-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Thursday,4-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Thursday,4-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,5-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,5-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,9-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,9-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,10-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,10-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Thursday,11-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Thursday,11-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,12-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,12-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,16-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Tuesday,16-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,17-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,17-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Thursday,18-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Thursday,18-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,19-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Friday,19-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,23-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Tuesday,23-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,24-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,24-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Thursday,25-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Thursday,25-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,26-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Friday,26-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,31-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,31-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,7-Aug,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,7-Aug,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,14-Aug,8:45:00,9:15:00,COJ,2m0a,9:45:00,10:15:00
Wednesday,14-Aug,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,21-Aug,8:45:00,9:15:00,COJ,2m0a,9:45:00,10:15:00
